"session_id","task_id","event_type","payload","timestamp","time","diff"
"test_ticket_12","test_ticket_12","tool_call","{""message"": ""Support request #12"", ""component"": ""SummarizationAgent""}","1781721011.6564124","1781721011262","1"
"test_ticket_32","test_ticket_32","RETRY_TRIGGERED","{""message"": ""Support request #32"", ""component"": ""SummarizationAgent""}","1781721011.6585515","1781721011262","1"
"test_ticket_38","test_ticket_38","RETRY_TRIGGERED","{""message"": ""Support request #38"", ""component"": ""QAAgent""}","1781721011.6593277","1781721011262","1"
"test_ticket_24","test_ticket_24","user_prompt","{""message"": ""Support request #24"", ""component"": ""SummarizationAgent""}","1781721011.6577728","1781721011262","1"
"test_ticket_41","test_ticket_41","TASK_FAILED","{""message"": ""Support request #41"", ""component"": ""PlannerAgent""}","1781721011.659657","1781721011262","1"
"test_ticket_10","test_ticket_10","WORKER_COMPLETED","{""message"": ""Support request #10"", ""component"": ""ResearchAgent""}","1781721011.6562228","1781721011262","1"
"test_ticket_10","test_ticket_10","WORKER_COMPLETED","{""message"": ""Support request #10"", ""component"": ""ResearchAgent""}","1781721011.6562228","1781721012762","-1"
"test_ticket_18","test_ticket_18","WORKER_COMPLETED","{""message"": ""Support request #18"", ""component"": ""PlannerAgent""}","1781721011.6569803","1781721012762","-1"
"test_ticket_26","test_ticket_26","AGENT_COMPLETED","{""message"": ""Support request #26"", ""component"": ""PlannerAgent""}","1781721011.6579647","1781721012762","-1"
"test_ticket_41","test_ticket_41","TASK_FAILED","{""message"": ""Support request #41"", ""component"": ""PlannerAgent""}","1781721011.659657","1781721012762","-1"
"test_ticket_24","test_ticket_24","user_prompt","{""message"": ""Support request #24"", ""component"": ""SummarizationAgent""}","1781721011.6577728","1781721012762","-1"
"test_ticket_7","test_ticket_7","tool_call","{""message"": ""Support request #7"", ""component"": ""QAAgent""}","1781721011.6559305","1781721012762","-1"
"test_ticket_38","test_ticket_38","RETRY_TRIGGERED","{""message"": ""Support request #38"", ""component"": ""QAAgent""}","1781721011.6593277","1781721012762","-1"
"test_ticket_8","test_ticket_8","user_prompt","{""message"": ""Support request #8"", ""component"": ""PlannerAgent""}","1781721011.6560302","1781721012762","-1"
"test_ticket_32","test_ticket_32","RETRY_TRIGGERED","{""message"": ""Support request #32"", ""component"": ""SummarizationAgent""}","1781721011.6585515","1781721012762","-1"
"test_ticket_39","test_ticket_39","TASK_COMPLETED","{""message"": ""Support request #39"", ""component"": ""ResearchAgent""}","1781721011.6594427","1781721012762","-1"
"test_ticket_2","test_ticket_2","tool_call","{""message"": ""Support request #2"", ""component"": ""QAAgent""}","1781721011.655362","1781721012762","-1"
"test_ticket_20","test_ticket_20","user_prompt","{""message"": ""Support request #20"", ""component"": ""QAAgent""}","1781721011.6571617","1781721012762","-1"
"test_ticket_12","test_ticket_12","tool_call","{""message"": ""Support request #12"", ""component"": ""SummarizationAgent""}","1781721011.6564124","1781721012762","-1"
"test_ticket_6","test_ticket_6","AGENT_COMPLETED","{""message"": ""Support request #6"", ""component"": ""QAAgent""}","1781721011.6558344","1781721012762","-1"
"test_ticket_34","test_ticket_34","RETRY_TRIGGERED","{""message"": ""Support request #34"", ""component"": ""QAAgent""}","1781721011.6587489","1781721012762","-1"
"test_ticket_45","test_ticket_45","RETRY_TRIGGERED","{""message"": ""Support request #45"", ""component"": ""ResearchAgent""}","1781721011.6600604","1781721012762","-1"
"test_ticket_0","test_ticket_0","AGENT_COMPLETED","{""message"": ""Support request #0"", ""component"": ""CriticAgent""}","1781721011.6472497","1781721012762","-1"
"test_ticket_28","test_ticket_28","TASK_COMPLETED","{""message"": ""Support request #28"", ""component"": ""SummarizationAgent""}","1781721011.6581552","1781721012762","-1"
"test_ticket_25","test_ticket_25","tool_call","{""message"": ""Support request #25"", ""component"": ""PlannerAgent""}","1781721011.6578698","1781721012762","-1"
"test_ticket_14","test_ticket_14","TASK_COMPLETED","{""message"": ""Support request #14"", ""component"": ""PlannerAgent""}","1781721011.6565976","1781721012762","-1"
"test_ticket_9","test_ticket_9","RETRY_TRIGGERED","{""message"": ""Support request #9"", ""component"": ""QAAgent""}","1781721011.656124","1781721012762","-1"
"test_ticket_43","test_ticket_43","TASK_FAILED","{""message"": ""Support request #43"", ""component"": ""QAAgent""}","1781721011.6598625","1781721012762","-1"
"test_ticket_1","test_ticket_1","WORKER_COMPLETED","{""message"": ""Support request #1"", ""component"": ""ResearchAgent""}","1781721011.6550639","1781721012762","-1"
"test_ticket_21","test_ticket_21","TASK_FAILED","{""message"": ""Support request #21"", ""component"": ""SummarizationAgent""}","1781721011.6572664","1781721012762","-1"
"test_ticket_17","test_ticket_17","RETRY_TRIGGERED","{""message"": ""Support request #17"", ""component"": ""ResearchAgent""}","1781721011.6568866","1781721012762","-1"
"test_ticket_13","test_ticket_13","TASK_COMPLETED","{""message"": ""Support request #13"", ""component"": ""PlannerAgent""}","1781721011.6565032","1781721012762","-1"
"test_ticket_49","test_ticket_49","RETRY_TRIGGERED","{""message"": ""Support request #49"", ""component"": ""ResearchAgent""}","1781721011.660453","1781721012762","-1"
"test_ticket_15","test_ticket_15","WORKER_COMPLETED","{""message"": ""Support request #15"", ""component"": ""CriticAgent""}","1781721011.656695","1781721012762","-1"
"test_ticket_23","test_ticket_23","TASK_COMPLETED","{""message"": ""Support request #23"", ""component"": ""PlannerAgent""}","1781721011.6576686","1781721012762","-1"
"test_ticket_16","test_ticket_16","WORKER_COMPLETED","{""message"": ""Support request #16"", ""component"": ""PlannerAgent""}","1781721011.6567955","1781721012762","-1"
"test_ticket_27","test_ticket_27","WORKER_COMPLETED","{""message"": ""Support request #27"", ""component"": ""SummarizationAgent""}","1781721011.6580608","1781721012762","-1"
"test_ticket_22","test_ticket_22","tool_call","{""message"": ""Support request #22"", ""component"": ""CriticAgent""}","1781721011.6575532","1781721012762","-1"
"test_ticket_37","test_ticket_37","TASK_STARTED","{""message"": ""Support request #37"", ""component"": ""PlannerAgent""}","1781721011.659167","1781721012762","-1"
"test_ticket_36","test_ticket_36","TASK_STARTED","{""message"": ""Support request #36"", ""component"": ""ResearchAgent""}","1781721011.6589544","1781721012762","-1"
"test_ticket_4","test_ticket_4","tool_call","{""message"": ""Support request #4"", ""component"": ""CriticAgent""}","1781721011.655615","1781721012762","-1"
"test_ticket_33","test_ticket_33","TASK_COMPLETED","{""message"": ""Support request #33"", ""component"": ""SummarizationAgent""}","1781721011.6586497","1781721012762","-1"
"test_ticket_48","test_ticket_48","RETRY_TRIGGERED","{""message"": ""Support request #48"", ""component"": ""CriticAgent""}","1781721011.6603549","1781721012762","-1"
"test_ticket_5","test_ticket_5","TASK_FAILED","{""message"": ""Support request #5"", ""component"": ""ResearchAgent""}","1781721011.6557293","1781721012762","-1"
"test_ticket_46","test_ticket_46","TASK_STARTED","{""message"": ""Support request #46"", ""component"": ""ResearchAgent""}","1781721011.6601577","1781721012762","-1"
"test_ticket_31","test_ticket_31","AGENT_COMPLETED","{""message"": ""Support request #31"", ""component"": ""QAAgent""}","1781721011.6584544","1781721012762","-1"
"test_ticket_3","test_ticket_3","tool_call","{""message"": ""Support request #3"", ""component"": ""ResearchAgent""}","1781721011.6554956","1781721012762","-1"
"test_ticket_40","test_ticket_40","TASK_FAILED","{""message"": ""Support request #40"", ""component"": ""SummarizationAgent""}","1781721011.6595533","1781721012762","-1"
"test_ticket_44","test_ticket_44","WORKER_COMPLETED","{""message"": ""Support request #44"", ""component"": ""ResearchAgent""}","1781721011.6599622","1781721012762","-1"
"test_ticket_29","test_ticket_29","AGENT_COMPLETED","{""message"": ""Support request #29"", ""component"": ""ResearchAgent""}","1781721011.6582644","1781721012762","-1"
"test_ticket_30","test_ticket_30","tool_call","{""message"": ""Support request #30"", ""component"": ""QAAgent""}","1781721011.6583593","1781721012762","-1"
"test_ticket_19","test_ticket_19","TASK_STARTED","{""message"": ""Support request #19"", ""component"": ""ResearchAgent""}","1781721011.657071","1781721012762","-1"
"test_ticket_42","test_ticket_42","tool_call","{""message"": ""Support request #42"", ""component"": ""SummarizationAgent""}","1781721011.6597576","1781721012762","-1"
"test_ticket_35","test_ticket_35","TASK_COMPLETED","{""message"": ""Support request #35"", ""component"": ""SummarizationAgent""}","1781721011.6588438","1781721012762","-1"
"test_ticket_47","test_ticket_47","TASK_COMPLETED","{""message"": ""Support request #47"", ""component"": ""ResearchAgent""}","1781721011.6602552","1781721012762","-1"
"test_ticket_11","test_ticket_11","WORKER_COMPLETED","{""message"": ""Support request #11"", ""component"": ""SummarizationAgent""}","1781721011.6563144","1781721012762","-1"
"test_ticket_92","test_ticket_92","AGENT_COMPLETED","{""message"": ""Support request #92"", ""component"": ""ResearchAgent""}","1781721013.0480287","1781721012762","1"
"test_ticket_66","test_ticket_66","TASK_STARTED","{""message"": ""Support request #66"", ""component"": ""SummarizationAgent""}","1781721012.9724574","1781721012762","1"
"test_ticket_65","test_ticket_65","user_prompt","{""message"": ""Support request #65"", ""component"": ""CriticAgent""}","1781721012.9648738","1781721012762","1"
"test_ticket_67","test_ticket_67","tool_call","{""message"": ""Support request #67"", ""component"": ""PlannerAgent""}","1781721012.9753358","1781721012762","1"
"test_ticket_56","test_ticket_56","TASK_FAILED","{""message"": ""Support request #56"", ""component"": ""PlannerAgent""}","1781721012.8722506","1781721012762","1"
"test_ticket_96","test_ticket_96","WORKER_COMPLETED","{""message"": ""Support request #96"", ""component"": ""ResearchAgent""}","1781721013.0594525","1781721012762","1"
"test_ticket_79","test_ticket_79","TASK_STARTED","{""message"": ""Support request #79"", ""component"": ""QAAgent""}","1781721013.004125","1781721012762","1"
"test_ticket_58","test_ticket_58","TASK_STARTED","{""message"": ""Support request #58"", ""component"": ""QAAgent""}","1781721012.9045033","1781721012762","1"
"test_ticket_80","test_ticket_80","TASK_FAILED","{""message"": ""Support request #80"", ""component"": ""QAAgent""}","1781721013.0110605","1781721012762","1"
"test_ticket_51","test_ticket_51","TASK_FAILED","{""message"": ""Support request #51"", ""component"": ""PlannerAgent""}","1781721012.859562","1781721012762","1"
"test_ticket_97","test_ticket_97","TASK_STARTED","{""message"": ""Support request #97"", ""component"": ""ResearchAgent""}","1781721013.060099","1781721012762","1"
"test_ticket_85","test_ticket_85","TASK_COMPLETED","{""message"": ""Support request #85"", ""component"": ""CriticAgent""}","1781721013.027123","1781721012762","1"
"test_ticket_87","test_ticket_87","TASK_STARTED","{""message"": ""Support request #87"", ""component"": ""CriticAgent""}","1781721013.0323684","1781721012762","1"
"test_ticket_76","test_ticket_76","user_prompt","{""message"": ""Support request #76"", ""component"": ""ResearchAgent""}","1781721012.9924066","1781721012762","1"
"test_ticket_59","test_ticket_59","RETRY_TRIGGERED","{""message"": ""Support request #59"", ""component"": ""PlannerAgent""}","1781721012.9072962","1781721012762","1"
"test_ticket_84","test_ticket_84","TASK_COMPLETED","{""message"": ""Support request #84"", ""component"": ""SummarizationAgent""}","1781721013.0265024","1781721012762","1"
"test_ticket_98","test_ticket_98","TASK_STARTED","{""message"": ""Support request #98"", ""component"": ""PlannerAgent""}","1781721013.0637093","1781721012762","1"
"test_ticket_89","test_ticket_89","WORKER_COMPLETED","{""message"": ""Support request #89"", ""component"": ""ResearchAgent""}","1781721013.0409636","1781721012762","1"
"test_ticket_64","test_ticket_64","TASK_COMPLETED","{""message"": ""Support request #64"", ""component"": ""QAAgent""}","1781721012.9620078","1781721012762","1"
"test_ticket_55","test_ticket_55","TASK_FAILED","{""message"": ""Support request #55"", ""component"": ""SummarizationAgent""}","1781721012.8716261","1781721012762","1"
"test_ticket_90","test_ticket_90","TASK_COMPLETED","{""message"": ""Support request #90"", ""component"": ""QAAgent""}","1781721013.0465844","1781721012762","1"
"test_ticket_81","test_ticket_81","TASK_COMPLETED","{""message"": ""Support request #81"", ""component"": ""SummarizationAgent""}","1781721013.0120814","1781721012762","1"
"test_ticket_99","test_ticket_99","TASK_FAILED","{""message"": ""Support request #99"", ""component"": ""ResearchAgent""}","1781721013.0681436","1781721012762","1"
"test_ticket_94","test_ticket_94","WORKER_COMPLETED","{""message"": ""Support request #94"", ""component"": ""SummarizationAgent""}","1781721013.0543513","1781721012762","1"
"test_ticket_91","test_ticket_91","user_prompt","{""message"": ""Support request #91"", ""component"": ""SummarizationAgent""}","1781721013.0473983","1781721012762","1"
"test_ticket_86","test_ticket_86","TASK_COMPLETED","{""message"": ""Support request #86"", ""component"": ""QAAgent""}","1781721013.0274205","1781721012762","1"
"test_ticket_68","test_ticket_68","TASK_FAILED","{""message"": ""Support request #68"", ""component"": ""QAAgent""}","1781721012.979798","1781721012762","1"
"test_ticket_50","test_ticket_50","TASK_STARTED","{""message"": ""Support request #50"", ""component"": ""QAAgent""}","1781721012.809852","1781721012762","1"
"test_ticket_69","test_ticket_69","tool_call","{""message"": ""Support request #69"", ""component"": ""SummarizationAgent""}","1781721012.9803255","1781721012762","1"
"test_ticket_88","test_ticket_88","TASK_COMPLETED","{""message"": ""Support request #88"", ""component"": ""SummarizationAgent""}","1781721013.033995","1781721012762","1"
"test_ticket_83","test_ticket_83","TASK_FAILED","{""message"": ""Support request #83"", ""component"": ""PlannerAgent""}","1781721013.020329","1781721012762","1"
"test_ticket_63","test_ticket_63","RETRY_TRIGGERED","{""message"": ""Support request #63"", ""component"": ""CriticAgent""}","1781721012.9337287","1781721012762","1"
"test_ticket_73","test_ticket_73","WORKER_COMPLETED","{""message"": ""Support request #73"", ""component"": ""CriticAgent""}","1781721012.9894645","1781721012762","1"
"test_ticket_52","test_ticket_52","WORKER_COMPLETED","{""message"": ""Support request #52"", ""component"": ""SummarizationAgent""}","1781721012.8622348","1781721012762","1"
"test_ticket_57","test_ticket_57","AGENT_COMPLETED","{""message"": ""Support request #57"", ""component"": ""SummarizationAgent""}","1781721012.8728802","1781721012762","1"
"test_ticket_60","test_ticket_60","TASK_STARTED","{""message"": ""Support request #60"", ""component"": ""SummarizationAgent""}","1781721012.9098985","1781721012762","1"
"test_ticket_82","test_ticket_82","RETRY_TRIGGERED","{""message"": ""Support request #82"", ""component"": ""CriticAgent""}","1781721013.0189457","1781721012762","1"
"test_ticket_77","test_ticket_77","user_prompt","{""message"": ""Support request #77"", ""component"": ""PlannerAgent""}","1781721012.9974566","1781721012762","1"
"test_ticket_75","test_ticket_75","TASK_FAILED","{""message"": ""Support request #75"", ""component"": ""PlannerAgent""}","1781721012.9905875","1781721012762","1"
"test_ticket_78","test_ticket_78","tool_call","{""message"": ""Support request #78"", ""component"": ""ResearchAgent""}","1781721013.0034091","1781721012762","1"
"test_ticket_61","test_ticket_61","TASK_FAILED","{""message"": ""Support request #61"", ""component"": ""SummarizationAgent""}","1781721012.9105144","1781721012762","1"
"test_ticket_53","test_ticket_53","AGENT_COMPLETED","{""message"": ""Support request #53"", ""component"": ""QAAgent""}","1781721012.8654218","1781721012762","1"
"test_ticket_93","test_ticket_93","user_prompt","{""message"": ""Support request #93"", ""component"": ""CriticAgent""}","1781721013.0482602","1781721012762","1"
"test_ticket_71","test_ticket_71","TASK_STARTED","{""message"": ""Support request #71"", ""component"": ""SummarizationAgent""}","1781721012.9845154","1781721012762","1"
"test_ticket_70","test_ticket_70","TASK_COMPLETED","{""message"": ""Support request #70"", ""component"": ""QAAgent""}","1781721012.9838305","1781721012762","1"
"test_ticket_72","test_ticket_72","TASK_COMPLETED","{""message"": ""Support request #72"", ""component"": ""CriticAgent""}","1781721012.9850273","1781721012762","1"
"test_ticket_95","test_ticket_95","user_prompt","{""message"": ""Support request #95"", ""component"": ""ResearchAgent""}","1781721013.0586834","1781721012762","1"
"test_ticket_62","test_ticket_62","WORKER_COMPLETED","{""message"": ""Support request #62"", ""component"": ""CriticAgent""}","1781721012.911754","1781721012762","1"
"test_ticket_74","test_ticket_74","user_prompt","{""message"": ""Support request #74"", ""component"": ""PlannerAgent""}","1781721012.9901326","1781721012762","1"
"test_ticket_54","test_ticket_54","user_prompt","{""message"": ""Support request #54"", ""component"": ""ResearchAgent""}","1781721012.868423","1781721012762","1"
"test_ticket_54","test_ticket_54","user_prompt","{""message"": ""Support request #54"", ""component"": ""ResearchAgent""}","1781721012.868423","1781721014262","-1"
"test_ticket_74","test_ticket_74","user_prompt","{""message"": ""Support request #74"", ""component"": ""PlannerAgent""}","1781721012.9901326","1781721014262","-1"
"test_ticket_62","test_ticket_62","WORKER_COMPLETED","{""message"": ""Support request #62"", ""component"": ""CriticAgent""}","1781721012.911754","1781721014262","-1"
"test_ticket_95","test_ticket_95","user_prompt","{""message"": ""Support request #95"", ""component"": ""ResearchAgent""}","1781721013.0586834","1781721014262","-1"
"test_ticket_71","test_ticket_71","TASK_STARTED","{""message"": ""Support request #71"", ""component"": ""SummarizationAgent""}","1781721012.9845154","1781721014262","-1"
"test_ticket_93","test_ticket_93","user_prompt","{""message"": ""Support request #93"", ""component"": ""CriticAgent""}","1781721013.0482602","1781721014262","-1"
"test_ticket_72","test_ticket_72","TASK_COMPLETED","{""message"": ""Support request #72"", ""component"": ""CriticAgent""}","1781721012.9850273","1781721014262","-1"
"test_ticket_70","test_ticket_70","TASK_COMPLETED","{""message"": ""Support request #70"", ""component"": ""QAAgent""}","1781721012.9838305","1781721014262","-1"
"test_ticket_61","test_ticket_61","TASK_FAILED","{""message"": ""Support request #61"", ""component"": ""SummarizationAgent""}","1781721012.9105144","1781721014262","-1"
"test_ticket_77","test_ticket_77","user_prompt","{""message"": ""Support request #77"", ""component"": ""PlannerAgent""}","1781721012.9974566","1781721014262","-1"
"test_ticket_53","test_ticket_53","AGENT_COMPLETED","{""message"": ""Support request #53"", ""component"": ""QAAgent""}","1781721012.8654218","1781721014262","-1"
"test_ticket_82","test_ticket_82","RETRY_TRIGGERED","{""message"": ""Support request #82"", ""component"": ""CriticAgent""}","1781721013.0189457","1781721014262","-1"
"test_ticket_57","test_ticket_57","AGENT_COMPLETED","{""message"": ""Support request #57"", ""component"": ""SummarizationAgent""}","1781721012.8728802","1781721014262","-1"
"test_ticket_52","test_ticket_52","WORKER_COMPLETED","{""message"": ""Support request #52"", ""component"": ""SummarizationAgent""}","1781721012.8622348","1781721014262","-1"
"test_ticket_73","test_ticket_73","WORKER_COMPLETED","{""message"": ""Support request #73"", ""component"": ""CriticAgent""}","1781721012.9894645","1781721014262","-1"
"test_ticket_83","test_ticket_83","TASK_FAILED","{""message"": ""Support request #83"", ""component"": ""PlannerAgent""}","1781721013.020329","1781721014262","-1"
"test_ticket_78","test_ticket_78","tool_call","{""message"": ""Support request #78"", ""component"": ""ResearchAgent""}","1781721013.0034091","1781721014262","-1"
"test_ticket_68","test_ticket_68","TASK_FAILED","{""message"": ""Support request #68"", ""component"": ""QAAgent""}","1781721012.979798","1781721014262","-1"
"test_ticket_91","test_ticket_91","user_prompt","{""message"": ""Support request #91"", ""component"": ""SummarizationAgent""}","1781721013.0473983","1781721014262","-1"
"test_ticket_75","test_ticket_75","TASK_FAILED","{""message"": ""Support request #75"", ""component"": ""PlannerAgent""}","1781721012.9905875","1781721014262","-1"
"test_ticket_81","test_ticket_81","TASK_COMPLETED","{""message"": ""Support request #81"", ""component"": ""SummarizationAgent""}","1781721013.0120814","1781721014262","-1"
"test_ticket_64","test_ticket_64","TASK_COMPLETED","{""message"": ""Support request #64"", ""component"": ""QAAgent""}","1781721012.9620078","1781721014262","-1"
"test_ticket_98","test_ticket_98","TASK_STARTED","{""message"": ""Support request #98"", ""component"": ""PlannerAgent""}","1781721013.0637093","1781721014262","-1"
"test_ticket_60","test_ticket_60","TASK_STARTED","{""message"": ""Support request #60"", ""component"": ""SummarizationAgent""}","1781721012.9098985","1781721014262","-1"
"test_ticket_76","test_ticket_76","user_prompt","{""message"": ""Support request #76"", ""component"": ""ResearchAgent""}","1781721012.9924066","1781721014262","-1"
"test_ticket_63","test_ticket_63","RETRY_TRIGGERED","{""message"": ""Support request #63"", ""component"": ""CriticAgent""}","1781721012.9337287","1781721014262","-1"
"test_ticket_88","test_ticket_88","TASK_COMPLETED","{""message"": ""Support request #88"", ""component"": ""SummarizationAgent""}","1781721013.033995","1781721014262","-1"
"test_ticket_87","test_ticket_87","TASK_STARTED","{""message"": ""Support request #87"", ""component"": ""CriticAgent""}","1781721013.0323684","1781721014262","-1"
"test_ticket_85","test_ticket_85","TASK_COMPLETED","{""message"": ""Support request #85"", ""component"": ""CriticAgent""}","1781721013.027123","1781721014262","-1"
"test_ticket_69","test_ticket_69","tool_call","{""message"": ""Support request #69"", ""component"": ""SummarizationAgent""}","1781721012.9803255","1781721014262","-1"
"test_ticket_97","test_ticket_97","TASK_STARTED","{""message"": ""Support request #97"", ""component"": ""ResearchAgent""}","1781721013.060099","1781721014262","-1"
"test_ticket_51","test_ticket_51","TASK_FAILED","{""message"": ""Support request #51"", ""component"": ""PlannerAgent""}","1781721012.859562","1781721014262","-1"
"test_ticket_50","test_ticket_50","TASK_STARTED","{""message"": ""Support request #50"", ""component"": ""QAAgent""}","1781721012.809852","1781721014262","-1"
"test_ticket_80","test_ticket_80","TASK_FAILED","{""message"": ""Support request #80"", ""component"": ""QAAgent""}","1781721013.0110605","1781721014262","-1"
